source,source_type,threshold,total_sentences,flagged_sentences,coverage_percentage,avg_similarity,min_similarity,max_similarity
HuggingFace_Datasets,nonpolitical_text,0.55,1000,16,0.016,0.6023668,0.55020964,0.71163434
HuggingFace_Datasets,nonpolitical_text,0.56,1000,12,0.012,0.6181416,0.5648227,0.71163434
HuggingFace_Datasets,nonpolitical_text,0.5700000000000001,1000,11,0.011,0.62298876,0.57680595,0.71163434
HuggingFace_Datasets,nonpolitical_text,0.5800000000000001,1000,9,0.009,0.6329353,0.58040386,0.71163434
HuggingFace_Datasets,nonpolitical_text,0.5900000000000001,1000,7,0.007,0.6478385,0.6152419,0.71163434
