label,threshold,precision,recall,f1,n_gold,n_pred
appeal_to_authority,0.05,2.269108212405834,178.86560638207376,4.481365344761831,144,11351
appeal_to_authority,0.1,2.3069151265711954,163.63077154720963,4.549687411237341,144,10214
appeal_to_authority,0.15,2.324831638005792,153.22900747439564,4.580171681642547,144,9491
appeal_to_authority,0.2,2.3402464394194564,145.95661994740374,4.606630854230387,144,8981
appeal_to_authority,0.25,2.340805968830906,137.52235066881573,4.603258599792995,144,8460
appeal_to_authority,0.3,2.3520554133227667,131.24142531978077,4.62128994890535,144,8035
appeal_to_authority,0.35,2.3730764724961575,127.22326644215511,4.659244752713717,144,7720
appeal_to_authority,0.4,2.3812426449115103,120.94728267279713,4.670530626141804,144,7314
appeal_to_authority,0.45,2.3982119167345264,116.21335246509392,4.699444750062771,144,6978
appeal_to_authority,0.5,2.400907334277563,110.39171847397046,4.699603092461714,144,6621
appeal_to_authority,0.55,2.4065064899932818,105.48520114470551,4.705659530618834,144,6312
appeal_to_authority,0.6,2.4244266658356155,100.76523329879278,4.734930199062216,144,5985
appeal_to_authority,0.65,2.4404301831755673,96.10888589436557,4.759992972928166,144,5671
appeal_to_authority,0.7,2.4416271888689187,89.13634813808268,4.753058371369711,144,5257
appeal_to_authority,0.75,2.452168579832512,81.7559816095548,4.761521274732413,144,4801
appeal_to_authority,0.8,2.461876507164708,74.07854795517139,4.765383473551343,144,4333
appeal_to_authority,0.85,2.4761858834101487,66.13479796941272,4.773639552679414,144,3846
appeal_to_authority,0.9,2.5071058853748776,55.260792223471256,4.79659679335736,144,3174
appeal_to_authority,0.95,2.59517835080885,35.50348160481552,4.836803548811196,144,1970
appeal_to_fear_prejudice,0.05,3.2673570032885406,79.17228330417538,6.275721566844854,294,7124
appeal_to_fear_prejudice,0.1,3.3431732312888185,58.50553154755433,6.324922329465332,294,5145
appeal_to_fear_prejudice,0.15,3.333608025274461,45.47993805910158,6.2118939788041185,294,4011
appeal_to_fear_prejudice,0.2,3.235288906298444,35.48913851296763,5.929983928850516,294,3225
appeal_to_fear_prejudice,0.25,3.2420188856753653,30.33603385881949,5.85799274515135,294,2751
appeal_to_fear_prejudice,0.3,3.2629949434957672,26.82536999465738,5.818265421194592,294,2417
appeal_to_fear_prejudice,0.35,3.2569367512172174,23.884202842259594,5.732208682142302,294,2156
appeal_to_fear_prejudice,0.4,3.274354123991476,21.717654904025096,5.690722408006575,294,1950
appeal_to_fear_prejudice,0.45,3.2924747037751714,19.34048916129157,5.627020102345098,294,1727
appeal_to_fear_prejudice,0.5,3.257329317105628,17.3945817274008,5.4871320041371625,294,1570
appeal_to_fear_prejudice,0.55,3.2619857390213216,15.866121111566292,5.411414857077134,294,1430
appeal_to_fear_prejudice,0.6,3.279771957539001,14.190033775474863,5.328058658990561,294,1272
appeal_to_fear_prejudice,0.65,3.2646322193477135,12.603257037277737,5.185944813099587,294,1135
appeal_to_fear_prejudice,0.7,3.2833685575353773,11.402446589264013,5.098584482499803,294,1021
appeal_to_fear_prejudice,0.75,3.3016419320989288,10.0846069898804,4.974621568833621,294,898
appeal_to_fear_prejudice,0.8,3.2899022227059724,8.661171157736131,4.768509963247983,294,774
appeal_to_fear_prejudice,0.85,3.2684323883265667,7.3928827831196156,4.532862436365312,294,665
appeal_to_fear_prejudice,0.9,3.262007708348786,5.935966408049661,4.210311517410376,294,535
appeal_to_fear_prejudice,0.95,3.1260416372997812,3.742743729011983,3.406707914332889,294,352
bandwagon_reductio_ad_hitlerum,0.05,0.7578892447661038,92.188805634188,1.50341880082934,72,8758
bandwagon_reductio_ad_hitlerum,0.1,0.7780722094262488,65.61742299494698,1.5379083514440697,72,6072
bandwagon_reductio_ad_hitlerum,0.15,0.7792236402441823,42.35946288771847,1.5302967024163219,72,3914
bandwagon_reductio_ad_hitlerum,0.2,0.758427727100069,25.280924236668966,1.4726751982525612,72,2400
bandwagon_reductio_ad_hitlerum,0.25,0.7332834293346175,16.539615128325263,1.4043069448578054,72,1624
bandwagon_reductio_ad_hitlerum,0.3,0.7401236619480555,12.119524964399409,1.3950532333121621,72,1179
bandwagon_reductio_ad_hitlerum,0.35,0.7364518844972534,9.215877054611463,1.3639119176403398,72,901
bandwagon_reductio_ad_hitlerum,0.4,0.7320132325432713,7.553969885828481,1.3346891577414737,72,743
bandwagon_reductio_ad_hitlerum,0.45,0.7309462945666103,6.294259758768033,1.309788157893926,72,620
bandwagon_reductio_ad_hitlerum,0.5,0.74039988881963,5.542715834358064,1.3063029134984634,72,539
bandwagon_reductio_ad_hitlerum,0.55,0.7557818102379275,4.797115101093512,1.3058309537948312,72,457
bandwagon_reductio_ad_hitlerum,0.6,0.7877243992939301,4.343424812773476,1.3335888550946278,72,397
bandwagon_reductio_ad_hitlerum,0.65,0.7738632106646333,3.4823844479908495,1.2663216174512182,72,324
bandwagon_reductio_ad_hitlerum,0.7,0.8060263718248198,3.0449885157826526,1.2746463554439011,72,272
bandwagon_reductio_ad_hitlerum,0.75,0.8115733310936083,2.615069622412738,1.2387171895639286,72,232
bandwagon_reductio_ad_hitlerum,0.8,0.8696211289430754,2.2585993210049318,1.2557463406359468,72,187
bandwagon_reductio_ad_hitlerum,0.85,0.8750668153533652,2.0661299806954454,1.2294327157857197,72,170
bandwagon_reductio_ad_hitlerum,0.9,0.9030932553497856,1.7560146631801385,1.1927646768770752,72,140
bandwagon_reductio_ad_hitlerum,0.95,1.018462637723659,1.4286767556956883,1.1891875885559486,72,101
black_and_white_fallacy,0.05,1.1922150124397357,79.78926826243877,2.349326280704719,107,7161
black_and_white_fallacy,0.1,1.1862381336877785,51.90623310211382,2.319468340750127,107,4682
black_and_white_fallacy,0.15,1.174032735278005,38.490718087432164,2.2785653307636187,107,3508
black_and_white_fallacy,0.2,1.1867775357056742,31.200048672337026,2.2865789095479876,107,2813
black_and_white_fallacy,0.25,1.1711628695343974,26.06111020898505,2.241590669100804,107,2381
black_and_white_fallacy,0.3,1.1658907401071774,22.282678163730633,2.2158425311516523,107,2045
black_and_white_fallacy,0.35,1.1657988253439167,19.350081437484075,2.1991064405850196,107,1776
black_and_white_fallacy,0.4,1.1657148641446948,17.26783233335833,2.183992978332555,107,1585
black_and_white_fallacy,0.45,1.169719753984589,15.326608365293398,2.1735547979938947,107,1402
black_and_white_fallacy,0.5,1.1602082690860152,13.402031968133782,2.1355434409386667,107,1236
black_and_white_fallacy,0.55,1.1678920629323706,11.165921311960888,2.1146081068669296,107,1023
black_and_white_fallacy,0.6,1.169679637650952,10.089853322914287,2.096338457382192,107,923
black_and_white_fallacy,0.65,1.1619769216746163,7.851488919352781,2.024359793664452,107,723
black_and_white_fallacy,0.7,1.168626892655371,6.738717689423961,1.9918309192496237,107,617
black_and_white_fallacy,0.75,1.1517187397012214,5.812412331202426,1.9224980508150218,107,540
black_and_white_fallacy,0.8,1.1646751460528126,4.898166502091268,1.8818808464049037,107,450
black_and_white_fallacy,0.85,1.2009235286895885,4.062937545660103,1.85387768607945,107,362
black_and_white_fallacy,0.9,1.227088184196676,3.1766675422661614,1.7703303490754128,107,277
black_and_white_fallacy,0.95,1.3114744073480007,1.863029064643889,1.539336756115028,107,152
causal_oversimplification,0.05,2.563682478989609,136.5988903637717,5.03290755152548,209,11136
causal_oversimplification,0.1,2.585217997051665,120.7630780153847,5.062070458326394,209,9763
causal_oversimplification,0.15,2.595664545865328,109.77549722920399,5.071414438749698,209,8839
causal_oversimplification,0.2,2.616268862717579,101.68398072657844,5.101284678793782,209,8123
causal_oversimplification,0.25,2.619594272265388,93.56589111225418,5.0965001935004235,209,7465
causal_oversimplification,0.3,2.622427544963007,85.84999647194685,5.08939136651167,209,6842
causal_oversimplification,0.35,2.621790176271178,78.59098303511449,5.074301963033343,209,6265
causal_oversimplification,0.4,2.6227649665916326,71.2789713408635,5.059366619202062,209,5680
causal_oversimplification,0.45,2.628242720423512,64.98927454138139,5.052169752333536,209,5168
causal_oversimplification,0.5,2.6166316284663638,58.47983893093964,5.00913374449442,209,4671
causal_oversimplification,0.55,2.6053391220924604,52.82979521257344,4.965786912267977,209,4238
causal_oversimplification,0.6,2.6062064918640013,47.622500442242206,4.94195759306287,209,3819
causal_oversimplification,0.65,2.6067102802871953,42.08153342434927,4.909316486569353,209,3374
causal_oversimplification,0.7,2.583596351532282,35.99728505101437,4.821167943391225,209,2912
causal_oversimplification,0.75,2.5706342514620197,31.27810000702352,4.750816062113311,209,2543
causal_oversimplification,0.8,2.554649978146142,26.817713167715954,4.664920559344681,209,2194
causal_oversimplification,0.85,2.5366289546291907,21.96793496592744,4.548091538265314,209,1810
causal_oversimplification,0.9,2.524979283375486,16.2251061127908,4.369906156666595,209,1343
causal_oversimplification,0.95,2.5123176099218734,9.412175543391516,3.966017517275861,209,783
doubt,0.05,5.599100462019922,156.54766890158743,10.811515131817973,493,13784
doubt,0.1,5.576972013618717,141.6528266826239,10.73143965494177,493,12522
doubt,0.15,5.55290381453395,131.39995111633482,10.655510469669062,493,11666
doubt,0.2,5.529385068447311,122.74561904480197,10.5820740035127,493,10944
doubt,0.25,5.515730474355799,115.52826141622307,10.528779531971157,493,10326
doubt,0.3,5.498592494813532,108.13155017691115,10.465028315119199,493,9695
doubt,0.35,5.494146333984165,101.4912589525229,10.423998054915375,493,9107
doubt,0.4,5.497069406486538,95.81403125748241,10.397604536636326,493,8593
doubt,0.45,5.501755289381659,90.28235353163818,10.37147857185078,493,8090
doubt,0.5,5.494660842343342,84.11400685023368,10.315473974419206,493,7547
doubt,0.55,5.471532382298963,78.98761858990207,10.234138229913723,493,7117
doubt,0.6,5.46679995131429,74.26198635690021,10.18391078552206,493,6697
doubt,0.65,5.458074796909383,68.02111876716278,10.105292015130706,493,6144
doubt,0.7,5.448044002446467,62.76853941966721,10.025883665606976,493,5680
doubt,0.75,5.445582157262005,57.04054008134076,9.942013880184195,493,5164
doubt,0.8,5.432746290549262,51.41824379655752,9.82717355755102,493,4666
doubt,0.85,5.44385915831537,45.96913930236691,9.73487357219368,493,4163
doubt,0.9,5.424186690957686,39.17957161561932,9.529121266157041,493,3561
doubt,0.95,5.387060058430828,29.317407985334505,9.101689003003724,493,2683
exaggeration_minimisation,0.05,2.286043169109982,50.86691334871546,4.375446538163619,466,10369
exaggeration_minimisation,0.1,2.257373740197279,31.0461551521982,4.2087296875416325,466,6409
exaggeration_minimisation,0.15,2.2564000272043523,22.476843189447646,4.101099814519422,466,4642
exaggeration_minimisation,0.2,2.249485022518262,17.38765032427206,3.98360130339763,466,3602
exaggeration_minimisation,0.25,2.2281937043281297,13.560423488142867,3.8274726501965937,466,2836
exaggeration_minimisation,0.3,2.221825922368266,11.204486947565291,3.7083032084981715,466,2350
exaggeration_minimisation,0.35,2.227955124254741,9.672002610230345,3.621657867711804,466,2023
exaggeration_minimisation,0.4,2.2349278246196893,8.330621526533047,3.5243482808573767,466,1737
exaggeration_minimisation,0.45,2.2397744975137273,7.166317115435552,3.4128807110812134,466,1491
